"Apple S6","80.2"
"Qualcomm Snapdragon Wear 4100+","28.4"
"Qualcomm Snapdragon Wear 4100","31.2"
"Apple A6x","18.5"
"Intel Atom Z2580","23.1"
"Qualcomm Snapdragon S4 Pro MSM8960DT","26.7"
"Qualcomm Snapdragon S4 Pro MSM8960T","22.2"
"MediaTek MTK 8113T","1.1"
"Qualcomm Snapdragon 400 8930AB","34.4"
"Qualcomm Snapdragon S4 Plus APQ8060A","11.3"
"Qualcomm Snapdragon S4 Plus MSM8960","33.9"
"Qualcomm Snapdragon S4 Plus MSM8260A","11.7"
"Intel Atom Z2560","21.3"
"AMD Z-60","35.5"
"AMD Z-01",""
"Apple A6","29.1"
"Intel Atom x3-C3130",""
"Samsung Exynos 4412 Quad","34.6"
"NVIDIA Tegra 3","20.6"
"Apple S5","77.8"
"Mediatek MT8127","19.7"
"Mediatek MT6589T",""
"Mediatek MT8389","19.8"
"Mediatek MT8125","20.2"
"Spreadtrum SC9830A","10"
"Samsung Exynos 3470 Quad","20.7"
"Samsung Exynos 3475 Quad","8.8"
"Mediatek MT8321","2.5"
"Mediatek MT8121","20.2"
"Mediatek MT6582","20.2"
"Mediatek MT6582M","20.4"
"Mediatek MT6580M","5.6"
"Spreadtrum SC7731","8.5"
"Qualcomm Snapdragon 212 APQ8009","6.5"
"Qualcomm Snapdragon 400 MSM8926","19.8"
"Qualcomm Snapdragon 400 MSM8226","20.4"
"Qualcomm Snapdragon 400 APQ8026","20.4"
"Mediatek MT6589","19.9"
"Qualcomm Snapdragon 200 MSM8212","27.4"
"Qualcomm Snapdragon 210 MSM8909","17.6"
"Marvell PXA1088","19.1"
"Qualcomm Snapdragon S4 Plus MSM8930","34.3"
"Qualcomm Snapdragon S4 Plus MSM8230",""
"Qualcomm 205","30.1"
"Intel Atom Z2480","24.1"
"Intel Atom Z2460","21.9"
"Qualcomm Snapdragon S4 Plus MSM8227",""
"Samsung Exynos 4212 1.5 GHz","7.6"
"Texas Instruments OMAP 4470","6.5"
"Rockchip RK3066 1.5 GHz","21.6"
"Qualcomm Snapdragon S4 Play MSM8625Q","32.6"
"Qualcomm Snapdragon 200 8225Q","10.6"
"Qualcomm Snapdragon S4 Play MSM8225Q","23.6"
"MediaTek MT8312","29"
"Renesas MP5232","36.9"
"Broadcom BCM21664T","29.3"
"Marvell PXA986","37.4"
"Amlogic AML8726-MX","18.6"
"Qualcomm Snapdragon S3 MSM8660","21"
"Qualcomm Snapdragon S3 MSM8260","21.4"
"Samsung Exynos 4210 1.4 GHz","18.6"
"Texas Instruments OMAP 4460","7.8"
"Rockchip RK3168",""
"Samsung Exynos 4210 1.2 GHz","7.6"
"MediaTek MT8377",""
"Broadcom BCM28155","24.3"
"Texas Instruments OMAP 4430",""
"MediaTek MT6572",""
"Spreadtrum SC8830","7.6"
"Apple A5x","5.2"
"Qualcomm Snapdragon S4 Play MSM8225","3.2"
"Intel Atom Z2420","17.4"
"Apple A5","25.4"
"Nvidia Tegra 2 (250)","21.4"
